prod_id,retailer,product_name,original_number_reviews,rating
xlsImpprod1060460,ulta,Healthy Skin Liquid Makeup SPF 20,369,84
P2863,sephora,Lipliner Pencil,369,88
1723,ulta,bareMinerals bareVitamins Skin Rev-er Upper,369,92
xlsImpprod3570103,ulta,Legendary Lengths Mascara,368,68
P308920,sephora,Marvelous Moxie® Lipgloss,368,90
xlsImpprod3800001,ulta,Great Lash Lots Of Lashes Mascara,367,78
xlsImpprod481496,ulta,Bamboo Foundation Brush,367,88
P290634,sephora,Cha Cha Tint,366,88
P276333,sephora,Express Nail Polish Remover,366,94
P249608,sephora,Soft Touch Shadow Pencil,366,74
prod2041233,ulta,Slant Tweezer,365,92
xlsImpprod4480165,ulta,Infallible Gel Lacquer Liner 24 Hour,364,86
P381177,sephora,ROUGE PUR COUTURE Vernis À Lèvres Glossy Stain  Rebel Nudes,362,80
P299549,sephora,Hervana,362,92
P308605,sephora,Flexitone™ BB Cream,362,66
xlsImpprod3400013,ulta,Gel Eyeliner,361,86
P305700,sephora,Dior Addict Extreme Lipstick,360,88
xlsImpprod4930113,ulta,Outlast Stay Fabulous 3-In-1 Foundation,360,82
P387425,sephora,Photo Finish Oil Free Foundation Primer Pore Minimizing,360,74
P279111,sephora,Prime Time Eyelid Primer,359,90
P375344,sephora,Glamazon™ Pure Performance 12-Hour Lipstick,359,82
xlsImpprod2570085,ulta,Matte Prime,356,84
xlsImpprod1750053,ulta,Travel Size Makeup Remover Pads,356,68
xlsImpprod1860017,ulta,Instant Age Rewind Eraser Treatment Makeup,355,82
xlsImpprod3570057,ulta,Fabulous Face Natural Finish Foundation,355,72
P379987,sephora,Rockateur,354,88
11077,ulta,Perfect Point Plus Eyeliner,354,84
P293008,sephora,Ultra Repair Lip Therapy,353,86
xlsImpprod1060464,ulta,SkinClearing Oil-Free Makeup,353,82
P378034,sephora,MicroSmooth Baked Luminizer,352,84
P379514,sephora,Marvelous Moxie™ Lipstick,350,88
P294751,sephora,Sexy Mother Pucker XL Extreme-Plump Collagen Lip Shine,350,76
xlsImpprod1150030,ulta,Extra Volume Collagen Mascara,349,74
P136216,sephora,Eyebrow Touch Up Razor Set,349,88
xlsImpprod740044,ulta,Natural Performance Foundation,349,82
P260206,sephora,Le Waterproof Mascara,349,60
VP00195,ulta,Brow Fantasy Pencil & Gel,348,80
P236400,sephora,Rouge G de Guerlain Jewel Lipstick Compact,348,88
P204735,sephora,Le 2 de Guerlain Mascara,348,84
P309504,sephora,N° 28 Primer Serum,348,88
P278604,sephora,Amazonian Clay BB Illuminating Moisturizer,348,84
P374580,sephora,High Impact Extreme Volume Mascara,347,72
VP10470,ulta,Matte Collection Quad Eyeshadow,347,88
xlsImpprod2900003,ulta,Volum' Express The Falsies Waterproof Mascara,346,72
VP12153,ulta,Telescopic Mascara,344,84
P393135,sephora,Diorskin Nude Air Serum SPF 20,343,82
P305114,sephora,Quickliner for Eyes Intense,343,80
P378685,sephora,MicroSmooth Baked Sculpting Contour Trio,343,88
P388677,sephora,bareMinerals Blemish Remedy Foundation,343,76
xlsImpprod481494,ulta,Bamboo Blush Brush,342,90
xlsImpprod4260025,ulta,Buffing Brush,342,92
P173647,sephora,Pureness Oil-Control Blotting Paper,342,94
xlsImpprod6380147,ulta,Dark Circle Concealer,341,76
xlsImpprod3570063,ulta,Extreme Wear Mousse Blush,341,80
P386660,sephora,Mist & Fix,341,84
P243309,sephora,Precision Sponge,340,70
P284201,sephora,Moisture Surge Tinted Moisturizer SPF 15,340,80
xlsImpprod2730209,ulta,Infallible Never Fail Lip Gloss,339,74
xlsImpprod1810159,ulta,ColorStay Makeup for Normal/Dry Skin SPF 15,338,86
VP10895,ulta,Makeup Brush Cleanser,338,82
xlsImpprod5260171,ulta,Lip Butter,338,86
P376470,sephora,Chubby Stick Shadow Tint for Eyes,337,82
P386656,sephora,Coconut Watercolor Eyeshadow,337,82
P307909,sephora,Line & Define Lip Primer,337,72
xlsImpprod2980143,ulta,Fit Me Pressed Powder,336,68
P379102,sephora,Argan Love Your Lips Hydrating Lipstick,336,78
P303109,sephora,Whipped Cherry Lip Scrub,335,66
P285100,sephora,Size Queen Mascara,335,76
P6127,sephora,Pressed Powder,335,86
P310717,sephora,MicroSmooth Baked Blush Duo,334,92
P189141,sephora,Classic Pointed Liner/Eyeliner Brush #17,334,90
xlsImpprod6320425,ulta,Naturally Pretty Vol 1 Matte Luxe Transforming Eye Shadow Palette,334,88
xlsImpprod2940219,ulta,Prime Time Eyelid Primer,334,92
xlsImpprod4070007,ulta,Dream Bouncy Blush,332,68
P285103,sephora,Baked Eye Colour - Wet/Dry,332,92
P400701,sephora,ROUGE PUR COUTURE Lipstick Collection,332,94
P387172,sephora,Best In Faux Lash Extending Fibers,332,56
P379325,sephora,Smart Liner,331,80
xlsImpprod2690159,ulta,Travel Size Makeup Remover Towlettes 7 Ct,331,88
P266705,sephora,Lashgasm Mascara,331,82
P392636,sephora,Tarteist Clay Paint Liner,329,78
xlsImpprod481506,ulta,Bamboo 5 Piece Brush Set,329,90
P69502,sephora,Tweezers,329,94
P392347,sephora,Smashbox Photo Finish Primer Water,329,80
xlsImpprod4930055,ulta,Travel Size All Nighter Makeup Setting Spray,329,88
xlsImpprod2240061,ulta,Real Deal Concealer,328,84
xlsImpprod1810223,ulta,Quick-Fix Concealer,328,84
1573,mac,Pro Longwear Paint Pot,328,94
xlsImpprod4190145,ulta,bareMinerals READY Blush,328,88
P379109,sephora,Sugar Shine Lip Treatment,327,88
